Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
352,-56,1,1450.786145,49,8,,
353,-54,0,417.297169,42,6,,
354,-54,1,1214.687573,44,8,,
355,-58,1,527.071633,50,7,,
356,-55,0,452.934582,42,6,,
357,-35,3,19643.054714,75,12,,
358,-55,0,810.127854,42,6,,
359,-57,1,507.137919,48,7,,
360,-55,0,473.739169,42,6,,
361,-55,0,455.425507,42,6,,
362,-55,0,456.519924,42,6,,
363,-55,0,441.951672,43,6,,
364,-54,0,411.560115,42,6,,
365,-53,3,5859.409058,51,11,,
366,-56,3,8126.713007,55,11,,
367,-57,1,435.805032,49,7,,
368,-56,2,632.767684,51,9,,
369,-57,1,4691.776265,51,8,,
370,-53,2,8695.776234,67,10,,
371,-55,0,430.784785,42,6,,
372,-55,0,642.501223,42,6,,
373,-55,0,392.305808,42,6,,
374,-55,0,461.133378,42,6,,
375,-55,0,441.240744,43,6,,
376,-55,0,443.710125,42,6,,
377,-48,3,6357.114753,54,9,,
378,-55,0,460.481822,43,6,,
379,-51,2,3805.302586,43,8,,
380,-52,1,1643.749552,46,8,,
381,-55,0,434.805134,42,6,,
382,-56,0,759.204893,43,6,,
383,-48,2,5125.243498,53,8,,
384,-54,1,423.208639,40,6,,
385,-49,2,3090.381923,44,9,,
386,-53,1,678.850625,52,8,,
387,-55,0,834.837313,42,6,,
388,-53,1,594.371502,47,8,,
389,-53,4,4764.199631,54,11,,
390,-55,1,687.680376,47,8,,
391,-54,1,1034.681037,50,8,,
392,-55,0,457.703384,44,6,,
393,-55,0,476.060377,43,6,,
394,-55,0,478.667095,43,6,,
395,-54,2,3121.907493,45,8,,
396,-56,2,3848.92039,57,10,,
397,-55,0,459.705013,43,6,,
398,-48,3,6911.81833,53,10,,
399,-55,1,503.370725,46,7,,
400,-55,0,469.92121,42,6,,
401,-46,2,5092.679902,46,9,,
402,-56,3,686.165359,56,9,,
403,-55,0,469.119435,42,6,,
404,-55,0,546.191611,42,6,,
405,-55,0,453.109863,42,6,,
406,-54,2,735.676225,46,7,,
407,-55,2,445.901868,48,8,,
408,-55,0,458.662738,42,6,,
409,-53,1,424.382732,40,6,,
410,-55,0,413.373316,42,6,,
411,-55,0,452.867602,43,6,,
412,-53,2,2057.384564,47,8,,
413,-59,1,495.207121,55,8,,
414,-55,0,445.431099,42,6,,
415,-53,1,2088.89733,44,8,,
416,-58,1,518.571548,51,7,,
417,-55,0,1057.942273,42,6,,
418,-54,0,456.515127,42,6,,
419,-54,0,448.356822,41,6,,
420,-55,0,460.474444,43,6,,
421,-55,0,445.24177,42,6,,
422,-55,0,466.742631,42,6,,
423,-57,1,828.684938,48,7,,
